Entidad,Sector,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01
Puebla,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",118.9680346,119.5508218,115.2545494,117.6712432,114.1069604,111.8290801,119.0369287,118.5789026,118.4112106,130.8346168,102.6403562,81.70214606,78.84178025
Puebla,Construcción ,119.6828643,117.5309761,119.1572449,115.1577345,124.1407995,120.9849581,120.1043881,110.0552082,113.4234849,116.7790583,107.7487687,142.1563909,129.8238808
Puebla,Industrias manufactureras ,111.3989089,120.2484702,129.912864,125.0826265,139.1806681,129.5215261,136.1008768,133.4186784,115.0807498,135.911706,128.5966645,110.8631439,128.5029211
Querétaro,Actividades secundarias ,134.3989425,135.62401,138.444417,127.8841173,135.71926,132.9347883,132.420604,137.7630294,133.7950931,141.0721852,132.7090222,127.040206,134.4657304
Querétaro,Minería ,80.19676223,81.32543172,87.27555923,83.40824072,82.61183914,79.66406745,82.15495853,82.99788024,96.61309502,92.93557532,84.33466507,94.54493204,76.30429236
Querétaro,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",138.9551298,138.804853,123.52623,139.8795155,137.2217042,140.5278049,137.6111758,140.8754322,120.8675512,97.09230972,102.7832979,97.4478198,96.02178211
Querétaro,Construcción ,122.8373479,130.2196715,133.0806641,108.9708626,112.1247633,106.067679,115.4536928,106.2656574,124.6256427,131.2195989,105.1357581,130.9240059,121.5047503
Querétaro,Industrias manufactureras ,140.1253853,139.0830923,142.8917523,135.6862472,146.1976719,144.3002707,140.0596788,151.2130419,139.1680471,148.9051882,146.471666,128.2955118,143.4446308
Quintana Roo,Actividades secundarias ,122.9947427,109.0176141,110.637454,119.0064953,125.6747476,113.3375535,124.8324049,124.152039,130.5897633,123.8040355,119.970605,124.9627786,115.3799684
Quintana Roo,Minería ,222.1018151,171.4628532,220.877873,189.21713,220.2505762,196.4809996,189.8407492,275.1416629,278.782368,165.8856816,151.4292616,157.9635608,271.895748
Quintana Roo,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",117.4145532,111.898419,115.344716,124.7737335,139.1971427,138.9758696,155.6750496,157.0452406,189.3793581,162.6903659,162.5357544,130.833708,123.8056331
Quintana Roo,Construcción ,113.4001464,97.74004379,95.37892428,108.1820157,113.9504946,99.54709361,115.654558,109.9877906,113.0235459,112.756642,108.8747403,116.1282631,98.51063649
Quintana Roo,Industrias manufactureras ,152.4112529,152.0253217,161.5840277,155.7685347,156.2137672,150.7101094,138.7944146,141.3562422,151.2295618,149.0215261,145.9999504,160.6299395,160.6670446
San Luis Potosí,Actividades secundarias ,121.1532261,121.1730081,125.3978202,124.2178669,127.1244927,123.6421438,116.0732573,124.5754672,119.5253444,122.7249774,117.4568069,103.5112705,124.0904964
San Luis Potosí,Minería ,76.7820255,79.80757669,78.38194576,78.46103276,83.69621681,75.28746361,73.8086928,69.68061805,67.72055563,72.3313812,73.36835818,70.86664686,69.24133314
San Luis Potosí,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",107.699633,108.9839854,108.0095994,136.1122114,114.687751,138.6802611,132.7456927,127.4979107,136.4220768,111.5719905,106.178824,89.9911467,101.6451694
San Luis Potosí,Construcción ,104.1158107,104.4796623,104.3760598,109.2739229,113.0230829,107.1343823,102.2230293,93.71916577,94.38035248,100.3573885,86.88473623,88.78847494,98.84912227
San Luis Potosí,Industrias manufactureras ,132.7316151,132.2089255,138.8925829,133.3080439,137.546062,133.2964671,124.0487451,140.6446899,132.2850367,136.5601204,133.331125,113.0342589,140.2375618
Sinaloa,Actividades secundarias ,108.3737695,106.9471512,113.1634186,114.2113614,117.1125113,118.9886553,116.3863776,112.4854123,117.4064881,122.6347201,118.8158772,123.1169201,116.7502825
Sinaloa,Minería ,151.6103622,111.008177,144.8827743,128.5755954,136.2287147,140.1275535,127.9092321,128.0690897,136.1941216,130.5122341,131.5853537,140.9434551,118.5607508
Sinaloa,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",92.92983047,85.02306536,93.84127808,101.6184558,96.22863637,114.240142,120.3942069,133.994118,153.5397071,148.8728398,137.3388863,107.3699587,111.1354293
Sinaloa,Construcción ,107.0172146,103.4329766,108.8142578,111.4300441,113.6642763,111.0666658,106.9666294,94.33671681,104.5485455,109.917173,110.3054388,127.4128779,118.9443929
Sinaloa,Industrias manufactureras ,110.3697278,117.5857411,121.2905095,120.0772522,125.8352965,128.3511382,125.9951474,127.5277221,121.0095065,130.1308414,122.7857277,120.5829977,115.4636763
Sonora,Actividades secundarias ,112.9605486,107.6303561,111.1789209,107.4095089,112.5415306,113.8382103,110.2201786,113.0234557,111.2470085,111.4437245,112.1427165,109.2820168,113.2509263
Sonora,Minería ,139.2291413,129.1666153,145.1821511,144.4438873,141.4664653,143.1828655,140.7202221,141.8271026,135.9652224,136.7648233,138.1035269,140.2259565,140.3840081
